method,distance,noise_db,visibility
back_projection,0.0,60,3.20137752658873
back_projection,0.0,45,2.8784810635390747
back_projection,0.0,35,1.547463985894187
back_projection,0.0,30,0.7657949517640387
gauss_newton,0.0,60,5.17909343762269
gauss_newton,0.0,45,4.076693495464767
gauss_newton,0.0,35,2.1215730829636144
gauss_newton,0.0,30,1.0202260210226852
greit,0.0,60,4.304364144220156
greit,0.0,45,4.0599127115422435
greit,0.0,35,3.1149640275756285
greit,0.0,30,1.7981231788215304
back_projection,0.15,60,3.1252102098399974
back_projection,0.15,45,2.6939915158011947
back_projection,0.15,35,1.8674395956387186
back_projection,0.15,30,1.2280087391198666
gauss_newton,0.15,60,5.386103315193442
gauss_newton,0.15,45,4.283731533159247
gauss_newton,0.15,35,2.4720891717315334
gauss_newton,0.15,30,1.4916597970682108
greit,0.15,60,4.438863352163095
greit,0.15,45,4.209043994078374
greit,0.15,35,3.3047289558100106
greit,0.15,30,2.101044015505362
back_projection,0.3,60,3.089590857807876
back_projection,0.3,45,2.836372065472641
back_projection,0.3,35,2.2078891176667677
back_projection,0.3,30,1.2567311948932383
gauss_newton,0.3,60,5.66763620130409
gauss_newton,0.3,45,4.577229062953475
gauss_newton,0.3,35,3.2034976954963086
gauss_newton,0.3,30,1.5989354545088534
greit,0.3,60,4.623851477338104
greit,0.3,45,4.380303351313774
greit,0.3,35,3.7597127507286245
greit,0.3,30,2.4037058024282936
back_projection,0.45,60,3.078292478157901
back_projection,0.45,45,2.9597197456353794
back_projection,0.45,35,2.65139091869028
back_projection,0.45,30,1.8474065089366198
gauss_newton,0.45,60,6.314411674902361
gauss_newton,0.45,45,5.381798304388221
gauss_newton,0.45,35,3.485730574028686
gauss_newton,0.45,30,1.5588905452090696
greit,0.45,60,4.956902688726875
greit,0.45,45,4.7383104904362865
greit,0.45,35,4.16522669030718
greit,0.45,30,2.7393423690496386
back_projection,0.6,60,3.789228312962244
back_projection,0.6,45,3.727404440294081
back_projection,0.6,35,3.5668472602666355
back_projection,0.6,30,3.29328673572587
gauss_newton,0.6,60,7.350123864378605
gauss_newton,0.6,45,6.266811051175165
gauss_newton,0.6,35,3.2619693827421137
gauss_newton,0.6,30,2.0342625250053934
greit,0.6,60,5.261883999475357
greit,0.6,45,5.098979914898936
greit,0.6,35,4.197938402609191
greit,0.6,30,3.0883700860225725
back_projection,0.72,60,4.802378344938681
back_projection,0.72,45,4.758591530309357
back_projection,0.72,35,4.61587203232834
back_projection,0.72,30,4.501349316309153
gauss_newton,0.72,60,8.277048496542973
gauss_newton,0.72,45,6.892589976508619
gauss_newton,0.72,35,3.4959867450798314
gauss_newton,0.72,30,2.5265547031217483
greit,0.72,60,5.22753089296925
greit,0.72,45,5.099828446561042
greit,0.72,35,4.2143900259765115
greit,0.72,30,3.448086175854862
