method,distance,signal_size,visibility,size,position_error,shape_error,ringing,brightness
back_projection,0.0,0.00040326606557947273,3.222442062714598,0.6207543131647669,0.0034963775433056545,0.038558256496227995,-0.0,0.31778764138842613
gauss_newton,0.0,0.00040326606557947273,5.248984477443467,0.3386208538872621,0.003262048574377167,0.014084507042253521,0.22098183197751559,0.06600277392538495
greit,0.0,0.00040326606557947273,4.317616170524232,0.4033141922401661,0.0027962430250958337,0.013972055888223553,0.11030968460226663,0.10153221808428992
back_projection,0.15,0.0004300437807902877,3.133716277827098,0.6678768086440401,0.07017832123248464,0.13613323678493844,-0.0,0.2968542238276504
gauss_newton,0.15,0.0004300437807902877,5.40792982033004,0.3367077264086107,0.0042109882023023595,0.017094017094017096,0.22826780644119282,0.06380203255066678
greit,0.15,0.0004300437807902877,4.435664618120614,0.4008918628686366,0.0048893722560590476,0.006060606060606061,0.10542070451432956,0.09847606183924862
back_projection,0.3,0.00046064462843783515,3.0889901009500726,0.6297942734523593,0.07032771462597147,0.08306188925081433,3.5566858584398493e-06,0.25414711697738607
gauss_newton,0.3,0.00046064462843783515,5.707410778591306,0.3199846572549268,0.011363708695301197,0.015772870662460567,0.23196898911088124,0.057246661868372
greit,0.3,0.00046064462843783515,4.622671364254167,0.3851968631448384,0.010168756292258108,0.002188183807439825,0.11288605531237889,0.09093293596861085
back_projection,0.45,0.0005733462503881568,3.0833084360698724,0.5218110977216049,0.056957462130798955,0.08540925266903915,0.00010528460580142925,0.19092077396284354
gauss_newton,0.45,0.0005733462503881568,6.405863944273799,0.2969483028637197,0.010038092239892127,0.02564102564102564,0.24998192410570685,0.04906190068549103
greit,0.45,0.0005733462503881568,4.97316397206934,0.3630677372311974,0.008364865303138236,0.0049261083743842365,0.10944351870698209,0.08212213460367203
back_projection,0.6,0.0008343370355219007,3.7964680262894386,0.41879302393810813,0.0347552448086154,0.10128913443830571,0.0009412123260622188,0.1293311070408549
gauss_newton,0.6,0.0008343370355219007,7.393244603957362,0.26656974983022325,0.015253842189127146,0.01818181818181818,0.22307311682402703,0.04179368986790303
greit,0.6,0.0008343370355219007,5.27849069892551,0.3493965112560829,0.003393802038911762,0.023936170212765957,0.07018122205214347,0.07720314576390222
back_projection,0.72,0.0011666088206082124,4.806927821768158,0.3352657166714095,0.009783859092692632,0.11781609195402298,0.004732777467077469,0.09071290720610041
gauss_newton,0.72,0.0011666088206082124,8.260580136485066,0.24772870048488052,0.014084667148169342,0.06315789473684211,0.15073605729086495,0.041402863373331995
greit,0.72,0.0011666088206082124,5.232788479665481,0.3327375628243462,0.010557222927005155,0.05571847507331378,0.028320103421654842,0.07777857333388095
