method,count,peak,visibility
back_projection,1,0.03410367746880195,3.1335908303235014
gauss_newton,1,0.33011266512924037,6.7828665225902975
greit,1,0.19325791507779538,5.199564775017761
back_projection,2,0.03611591451819685,2.298641911363853
gauss_newton,2,0.33102851659733085,4.758071400592453
greit,2,0.19300994724518358,3.7183503883981683
back_projection,3,0.03516198398570394,2.2038076262119706
gauss_newton,3,0.33622960160747906,3.9381687744589513
greit,3,0.1902941786107935,3.0071459042951
back_projection,4,0.037745746056682246,2.137617359404876
gauss_newton,4,0.3468844902108589,3.3898319817870726
greit,4,0.18592608841169878,2.4067244890476784
