method,gap,dip
back_projection,0.3,0.0008698427466997702
gauss_newton,0.3,5.724382068472669e-05
greit,0.3,0.00021786871190884123
back_projection,0.35,0.0008450299232200401
gauss_newton,0.35,0.0003168906481697159
greit,0.35,3.322643299264836e-05
back_projection,0.4,0.0007521072426129377
gauss_newton,0.4,0.0006162502776597478
greit,0.4,0.00013425280746190023
back_projection,0.45,0.0006894430528657763
gauss_newton,0.45,0.00012089408878907356
greit,0.45,0.00045267473554436264
back_projection,0.5,0.027206933585595755
gauss_newton,0.5,0.014777616911207608
greit,0.5,0.0006626704969422656
back_projection,0.55,0.05838149387328553
gauss_newton,0.55,0.11737124767707904
greit,0.55,0.0007979156997172378
back_projection,0.6,0.13787313539381582
gauss_newton,0.6,0.2990225492495109
greit,0.6,0.04628124302325039
back_projection,0.65,0.21922558083759047
gauss_newton,0.65,0.4762882374938664
greit,0.65,0.15041780659924847
back_projection,0.7,0.3003380769427993
gauss_newton,0.7,0.624587582014697
greit,0.7,0.2706903929941706
back_projection,0.75,0.38173971693698283
gauss_newton,0.75,0.758363770293404
greit,0.75,0.4065156165728922
back_projection,0.8,0.4533389476284397
gauss_newton,0.8,0.8639287831061351
greit,0.8,0.5238182708902298
back_projection,0.85,0.5392441881147658
gauss_newton,0.85,0.961339545312106
greit,0.85,0.6464262509510058
back_projection,0.9,0.6065102732646788
gauss_newton,0.9,1.033529057172963
greit,0.9,0.7450569312793243
back_projection,0.95,0.6676266473427726
gauss_newton,0.95,1.0874232121353722
greit,0.95,0.8304591888683467
back_projection,1.0,0.7218440637972118
gauss_newton,1.0,1.1278844943920543
greit,1.0,0.9051917573866993
