method,real_radius,measured_size,times_too_big
back_projection,0.06,0.5124420935333145,8.540701558888575
gauss_newton,0.06,0.28811514350570444,4.801919058428408
greit,0.06,0.35401225307138073,5.900204217856346
back_projection,0.1,0.5180838278823016,5.180838278823015
gauss_newton,0.1,0.2897918704266472,2.897918704266472
greit,0.1,0.35902103545071545,3.590210354507154
back_projection,0.15,0.5218110977216049,3.4787406514773664
gauss_newton,0.15,0.2969483028637197,1.9796553524247982
greit,0.15,0.3630677372311974,2.420451581541316
back_projection,0.2,0.535255740754208,2.67627870377104
gauss_newton,0.2,0.3102470466808028,1.5512352334040138
greit,0.2,0.37451267035941554,1.8725633517970777
back_projection,0.25,0.545713860526796,2.182855442107184
gauss_newton,0.25,0.3249925461279992,1.2999701845119969
greit,0.25,0.39229593917870714,1.5691837567148286
back_projection,0.3,0.5486652820538822,1.8288842735129407
gauss_newton,0.3,0.35492110707601204,1.1830703569200403
greit,0.3,0.417941771871782,1.3931392395726068
