pattern,distance,noise_db,visibility
adjacent,0.0,60,4.304364144220156
adjacent,0.0,45,4.0599127115422435
adjacent,0.0,35,3.1149640275756285
adjacent,0.0,30,1.7981231788215304
adjacent,0.65,60,5.2040935608696754
adjacent,0.65,45,5.050902897049239
adjacent,0.65,35,4.114006241103163
adjacent,0.65,30,3.1550113619592777
opposite,0.0,60,2.113668671874906
opposite,0.0,45,2.0537540214987606
opposite,0.0,35,1.7732955037553704
opposite,0.0,30,0.9754295582199342
opposite,0.65,60,4.323204198910441
opposite,0.65,45,4.35553539119539
opposite,0.65,35,3.7908824713365794
opposite,0.65,30,3.6426428690699355
skip_4,0.0,60,3.3601468021509335
skip_4,0.0,45,3.205393590371186
skip_4,0.0,35,1.8016114982950917
skip_4,0.0,30,1.7109189924274308
skip_4,0.65,60,4.617525435286939
skip_4,0.65,45,4.504730043922665
skip_4,0.65,35,3.239245670305215
skip_4,0.65,30,2.5433334444055977
